City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Luderitz,NA,2021-02-04 14:52:44,-26.6481,15.1594,75.16,52,0,24.61
253,Vilhena,BR,2021-02-04 14:52:44,-12.7406,-60.1458,82.4,74,20,8.05
254,Micheweni,TZ,2021-02-04 14:52:44,-4.9667,39.8333,82.6,70,0,14.2
255,Faridkot,IN,2021-02-04 14:52:44,30.6667,74.75,50.07,83,0,5.82
256,Krasnoselkup,RU,2021-02-04 14:51:06,65.7,82.4667,-15.79,88,89,7.02
257,Karibib,NA,2021-02-04 14:52:44,-21.9333,15.8333,87.46,27,91,15.21
258,Ilulissat,GL,2021-02-04 14:52:45,69.2167,-51.1,-2.2,38,1,9.22
259,Carauari,BR,2021-02-04 14:52:45,-4.8828,-66.8958,80.55,82,99,1.59
260,Faanui,PF,2021-02-04 14:52:45,-16.4833,-151.75,80.89,67,5,4.36
261,Lebu,CL,2021-02-04 14:48:09,-37.6167,-73.65,71.24,49,0,6.35
262,Tautira,PF,2021-02-04 14:52:45,-17.7333,-149.15,75.2,83,20,2.3
263,Gemena,CD,2021-02-04 14:52:46,3.25,19.7667,88.81,39,100,1.88
264,Amapa,BR,2021-02-04 14:52:46,1.0,-52.0,80.71,90,52,3.31
265,Shubarkuduk,KZ,2021-02-04 14:52:46,49.1447,56.4872,31.12,98,72,7.07
266,Pervouralsk,RU,2021-02-04 14:52:12,56.9053,59.9436,23.0,93,40,8.95
267,Charleville-Mezieres,FR,2021-02-04 14:52:46,49.7667,4.7167,48.0,84,100,4.0
268,Victoria,HK,2021-02-04 14:52:26,22.2855,114.1577,66.0,81,0,1.99
269,Cabay,PH,2021-02-04 14:52:47,13.8783,121.3772,78.01,79,79,11.01
270,Casper,US,2021-02-04 14:52:32,42.8666,-106.3131,8.6,78,1,3.44
271,Mitsamiouli,KM,2021-02-04 14:52:47,-11.3847,43.2844,84.04,66,31,5.1
272,Komsomolets,KZ,2021-02-04 14:52:47,53.7453,62.0708,34.14,98,100,6.13
273,Athabasca,CA,2021-02-04 14:52:47,54.7169,-113.2854,-18.4,76,100,1.14
274,Sovetskiy,RU,2021-02-04 14:52:47,61.3614,63.5842,10.56,95,100,5.28
275,Verkhoyansk,RU,2021-02-04 14:52:47,67.5447,133.385,-43.74,71,1,1.7
276,Andilamena,MG,2021-02-04 14:52:48,-17.0167,48.5833,71.78,86,95,7.67
277,Chiang Klang,TH,2021-02-04 14:52:48,19.2938,100.8617,71.33,53,0,1.5
278,Livingstonia,MW,2021-02-04 14:52:48,-10.606,34.1063,72.01,76,40,4.92
279,Sao Gabriel Da Cachoeira,BR,2021-02-04 14:52:48,-0.1303,-67.0892,84.2,79,40,2.3
280,Guaruja,BR,2021-02-04 14:52:48,-23.9931,-46.2564,95.0,74,20,6.91
281,Touros,BR,2021-02-04 14:52:48,-5.1989,-35.4608,86.0,58,40,16.11
282,Tuatapere,NZ,2021-02-04 14:52:49,-46.1333,167.6833,45.0,89,9,4.16
283,Provideniya,RU,2021-02-04 14:50:34,64.3833,-173.3,-11.18,85,98,24.9
284,Padang,ID,2021-02-04 14:52:49,-0.9492,100.3543,78.8,89,40,2.3
285,Bonavista,CA,2021-02-04 14:52:49,48.6499,-53.1147,41.0,100,61,8.05
286,Muswellbrook,AU,2021-02-04 14:52:49,-32.2667,150.9,65.46,84,97,1.3
287,Esperance,AU,2021-02-04 14:50:25,-33.8667,121.9,59.0,58,90,9.22
288,Matay,EG,2021-02-04 14:52:49,28.419,30.7792,70.3,38,31,18.43
289,Namibe,AO,2021-02-04 14:52:50,-15.1961,12.1522,78.8,57,20,26.46
290,Manta,EC,2021-02-04 14:51:19,-0.95,-80.7333,75.2,94,90,5.75
